DD,DuPont de Nemours, Inc.,78.2,-0.029
GRMN,Garmin Ltd.,169.96,0.204
BKR,Baker Hughes Company,31.9,0.123
BIIB,Biogen Inc.,219.72,-0.07
DVN,Devon Energy Corporation,50.56,-0.005
PPG,PPG Industries, Inc.,133.43,-0.016
RMD,ResMed Inc.,212.88,0.072
ROK,Rockwell Automation, Inc.,273.59,0.036
VST,Vistra Corp.,89.2,-0.204
EXR,Extra Space Storage Inc,140.95,0.587
DFS,Discover Financial Services,123.57,0.028
FICO,Fair Isaac Corproation,1251.44,0.141
ADM,Archer-Daniels-Midland Company,62.03,-0.092
VICI,VICI Properties Inc.,29.26,0.083
XEL,Xcel Energy Inc.,54.93,-0.106
ON,ON Semiconductor Corporation,70.67,-0.05
DG,Dollar General Corporation,137.52,-0.034
CDW,CDW Corporation,220.32,-0.045
HIG,Hartford Financial Services Gro,99.68,0.086
WAB,Westinghouse Air Brake Technolo,165.56,0.138
GLW,Corning Incorporated,33.93,-0.064
EFX,Equifax, Inc.,234.3,0.067
HPQ,HP Inc.,29.44,-0.044
TSCO,Tractor Supply Company,266.65,0.029
ANSS,ANSYS, Inc.,326.96,-0.084
EIX,Edison International,73.85,0.028
GPN,Global Payments Inc.,111.06,0.056
AVB,AvalonBay Communities, Inc.,194.9,0.065
FTV,Fortive Corporation,76.53,0.044
WST,West Pharmaceutical Services, I,366.66,-0.03
WEC,WEC Energy Group, Inc.,84.91,-0.072
MTD,Mettler-Toledo International, I,1253.13,-0.116
CBRE,CBRE Group Inc,86.5,0.071
KEYS,Keysight Technologies Inc.,150.8,-0.088
FITB,Fifth Third Bancorp,38.48,-0.024
CHD,Church & Dwight Company, Inc.,106.78,0.051
DLTR,Dollar Tree, Inc.,119.57,0.119
RJF,Raymond James Financial, Inc.,125.4,0.1
AWK,American Water Works Company, I,132.87,0.078
WTW,Willis Towers Watson Public Lim,252.96,0.043
DOV,Dover Corporation,183.75,0.007
MTB,M&T Bank Corporation,151.26,-0.098
EBAY,eBay Inc.,49.69,0.018
EQR,Equity Residential,66.1,0.036
TRGP,Targa Resources, Inc.,112.45,0.009
TTWO,Take-Two Interactive Software, ,145.97,-0.029
TROW,T. Rowe Price Group, Inc.,111.49,0.138
ZBH,Zimmer Biomet Holdings, Inc.,120.85,0.032
IFF,International Flavors & Fragran,97.23,-0.042
PHM,PulteGroup, Inc.,115.79,0.104
BRO,Brown & Brown, Inc.,84.81,0.118
VLTO,Veralto Corp,96.73,0.017
DTE,DTE Energy Company,114.73,-0.143
CAH,Cardinal Health, Inc.,97.44,0.088
NVR,NVR, Inc.,7575.0,0.074
ETR,Entergy Corporation,110.83,-0.063
AXON,Axon Enterprise, Inc.,311.86,0.343
WDC,Western Digital Corporation,72.04,
IRM,Iron Mountain Incorporated (Del,78.04,0.124
FE,FirstEnergy Corp.,39.47,0.017
STT,State Street Corporation,75.32,0.018
BF-B,Brown Forman Inc,47.56,-0.011
APTV,Aptiv PLC,83.2,0.017
ROL,Rollins, Inc.,46.64,0.137
NTAP,NetApp, Inc.,109.48,0.052
BR,Broadridge Financial Solutions,,190.46,0.087
WY,Weyerhaeuser Company,30.73,-0.045
HPE,Hewlett Packard Enterprise Comp,17.18,-0.135
LYV,Live Nation Entertainment, Inc.,95.79,0.215
DECK,Deckers Outdoor Corporation,853.48,0.16
BALL,Ball Corporation,69.89,-0.176
CPAY,Corpay, Inc.,304.5,0.061
ES,Eversource Energy (D/B/A),61.04,-0.122
GPC,Genuine Parts Company,154.35,0.003
PTC,PTC Inc.,178.33,0.112
K,Kellanova,62.33,-0.042
HUBB,Hubbell Inc,396.37,0.088
INVH,Invitation Homes Inc.,34.7,0.094
SBAC,SBA Communications Corporation,197.22,-0.026
TSN,Tyson Foods, Inc.,59.13,-0.005
PPL,PPL Corporation,28.52,-0.046
CTRA,Coterra Energy Inc.,28.07,-0.127
STE,STERIS plc (Ireland),210.09,0.148
STLD,Steel Dynamics, Inc.,130.82,-0.041
ARE,Alexandria Real Estate Equities,118.1,0.097
ALGN,Align Technology, Inc.,273.65,0.058
TYL,Tyler Technologies, Inc.,481.02,0.086
FSLR,First Solar, Inc.,190.72,0.448
HBAN,Huntington Bancshares Incorpora,14.05,-0.104
MKC,McCormick & Company, Incorporat,75.56,0.024
MOH,Molina Healthcare Inc,344.41,0.208
WRB,W.R. Berkley Corporation,78.56,0.125
BLDR,Builders FirstSource, Inc.,163.46,-0.047
AEE,Ameren Corporation,74.23,-0.124
LDOS,Leidos Holdings, Inc.,145.5,0.075
CBOE,Cboe Global Markets, Inc.,185.5,-0.031
PFG,Principal Financial Group Inc,82.98,0.438
HRL,Hormel Foods Corporation,35.12,0.009
WAT,Waters Corporation,323.8,-0.07
VTR,Ventas, Inc.,47.44,0.107
WBD,Warner Bros. Discovery, Inc. - ,7.8,-0.066
STX,Seagate Technology Holdings PLC,90.05,-0.11
CNP,CenterPoint Energy, Inc (Holdin,29.46,-0.057
TER,Teradyne, Inc.,120.43,-0.029
ULTA,Ulta Beauty, Inc.,388.48,0.102
CMS,CMS Energy Corporation,62.74,-0.047
CCL,Carnival Corporation,14.3,0.22
OMC,Omnicom Group Inc.,95.07,0.054
TDY,Teledyne Technologies Incorpora,391.72,-0.024
CINF,Cincinnati Financial Corporatio,117.44,0.31
SYF,Synchrony Financial,45.61,0.526
COO,The Cooper Companies, Inc.,91.99,0.085
BAX,Baxter International Inc.,35.75,0.022
CE,Celanese Corporation,163.27,0.094
ATO,Atmos Energy Corporation,120.59,-0.219
AVY,Avery Dennison Corporation,225.1,0.042
RF,Regions Financial Corporation,19.74,0.156
DPZ,Domino's Pizza Inc,516.67,0.031
HOLX,Hologic, Inc.,75.86,-0.008
DRI,Darden Restaurants, Inc.,147.98,0.068
EQT,EQT Corporation,39.91,-0.307
ILMN,Illumina, Inc.,110.62,-0.01
NTRS,Northern Trust Corporation,85.62,-0.043
CLX,Clorox Company (The),140.42,-0.053
UAL,United Airlines Holdings, Inc.,53.02,0.097
J,Jacobs Solutions Inc.,138.51,0.095
JBHT,J.B. Hunt Transport Services, I,167.75,-0.088
L,Loews Corporation,77.31,0.118
LH,Laboratory Corporation of Ameri,201.61,0.046
ESS,Essex Property Trust, Inc.,254.5,0.038
IEX,IDEX Corporation,222.07,-0.053
VRSN,VeriSign, Inc.,168.56,0.055
EG,Everest Group, Ltd.,380.97,0.219
FDS,FactSet Research Systems Inc.,433.9,0.06
TXT,Textron Inc.,86.72,0.037
EXPD,Expeditors International of Was,116.83,-0.338
ZBRA,Zebra Technologies Corporation,319.95,-0.164
CFG,Citizens Financial Group, Inc.,35.95,-0.088
LUV,Southwest Airlines Company,27.18,0.109
PKG,Packaging Corporation of Americ,178.54,0.002
MAA,Mid-America Apartment Communiti,132.99,0.028
BBY,Best Buy Co., Inc.,73.23,-0.006
NRG,NRG Energy, Inc.,75.82,-0.038
AKAM,Akamai Technologies, Inc.,102.12,0.072
MAS,Masco Corporation,70.67,-0.027
NDSN,Nordson Corporation,271.0,0.037
ALB,Albemarle Corporation,130.46,-0.473
ENPH,Enphase Energy, Inc.,112.36,-0.637
MRO,Marathon Oil Corporation,26.98,-0.028
FOXA,Fox Corporation,33.16,-0.081
FOX,Fox Corporation,30.59,-0.081
DGX,Quest Diagnostics Incorporated,136.14,0.015
SWKS,Skyworks Solutions, Inc.,93.24,-0.093
BG,Bunge Limited,105.36,-0.125
WBA,Walgreens Boots Alliance, Inc.,17.23,0.063
EXPE,Expedia Group, Inc.,111.54,0.084
AMCR,Amcor plc,10.22,-0.07
CAG,ConAgra Brands, Inc.,30.83,-0.017
SNA,Snap-On Incorporated,275.91,0.005
EPAM,EPAM Systems, Inc.,249.2,-0.06
UDR,UDR, Inc.,38.27,0.033
JBL,Jabil Inc.,117.53,-0.168
KEY,KeyCorp,15.02,-0.094
VTRS,Viatris Inc.,11.81,-0.01
POOL,Pool Corporation,365.82,-0.071
NWSA,News Corporation,24.14,0.026
NWS,News Corporation,24.93,0.026
PNR,Pentair plc.,83.36,-0.011
TRMB,Trimble Inc.,56.54,0.041
AES,The AES Corporation,19.37,-0.048
IP,International Paper Company,39.28,-0.08
DOC,Healthpeak Properties, Inc.,19.15,0.154
CPB,Campbell Soup Company,45.01,-0.012
CF,CF Industries Holdings, Inc.,73.25,-0.269
WRK,Westrock Company,51.81,-0.104
SWK,Stanley Black & Decker, Inc.,85.88,-0.016
LNT,Alliant Energy Corporation,51.21,-0.043
HST,Host Hotels & Resorts, Inc.,18.23,0.066
NI,NiSource Inc,28.72,-0.166
KIM,Kimco Realty Corporation (HC),18.92,0.137
GEN,Gen Digital Inc.,20.02,0.016
RVTY,Revvity, Inc.,102.83,-0.037
MGM,MGM Resorts International,40.04,0.132
AOS,A.O. Smith Corporation,85.58,0.013
EVRG,Evergy, Inc.,54.57,-0.072
